log_index,timestamp,days_ago,extra_var,description,file_time
12,2026-05-27 11:16:07,41.0,7.0,[Setup] Complete,2026-05-27 11:16:04
17,2026-05-27 11:16:12,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
19,2026-05-27 11:18:42,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
20,2026-05-27 11:18:42,41.0,7.0,[Setup] Complete,2026-05-27 11:58:54
21,2026-05-27 11:19:42,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
25,2026-05-27 11:23:29,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
26,2026-05-27 11:23:29,41.0,7.0,[Setup] Complete,2026-05-27 11:58:54
27,2026-05-27 11:24:29,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
29,2026-05-27 11:29:00,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
30,2026-05-27 11:29:00,41.0,7.0,[Setup] Complete,2026-05-27 11:58:54
37,2026-05-27 11:58:57,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
34,2026-05-27 11:58:57,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 11:58:54
35,2026-05-27 11:58:57,41.0,7.0,[Setup] Complete,2026-05-27 11:58:54
40,2026-05-27 11:58:57,41.0,50.0,[Logs] Incomplete Event Log,2026-05-27 11:58:54
38,2026-05-27 11:58:57,41.0,7.0,[Setup] Complete,2026-05-27 11:58:54
43,2026-05-27 11:59:02,41.0,14.0,[Battery] Error Battery Gauge,2026-05-27 14:48:07
46,2026-05-27 14:48:09,41.0,7.0,[Setup] Complete,2026-05-27 14:48:07
48,2026-05-27 14:48:09,41.0,50.0,[Logs] Incomplete Event Log,2026-05-27 14:48:07
71,2026-05-27 16:02:49,41.0,50.0,[Logs] Incomplete Event Log,2026-05-27 16:06:37
5,2026-06-07 18:55:49,30.0,50.0,[Logs] Incomplete Event Log,2026-06-07 18:59:37
29,2026-06-19 04:49:50,18.0,50.0,[Logs] Incomplete Event Log,2026-06-19 04:53:37
0,2026-06-30 02:30:00,6.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-06-30 09:05:00,6.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-06-30 15:11:00,6.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-06-30 21:01:00,6.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-01 02:58:00,5.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-01 09:32:00,5.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-01 15:36:00,5.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-01 21:28:00,5.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-02 03:28:00,4.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-02 10:00:00,4.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-02 16:04:00,4.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-02 21:55:00,4.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-03 03:58:00,3.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-03 10:28:00,3.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-03 16:33:00,3.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-03 22:25:00,3.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-04 04:32:00,2.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-04 10:57:00,2.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-04 17:06:00,2.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-04 22:58:00,2.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-05 05:08:00,1.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-05 11:26:00,1.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-05 17:42:00,1.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-05 23:40:00,1.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-06 05:51:00,0.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-06 11:56:00,0.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
0,2026-07-06 18:25:00,0.0,52.0,[Logs] Missed LTS Scan,2026-07-07 01:45:24
0,2026-07-07 00:45:00,0.0,51.0,[Logs] Missed HTS Scan,2026-07-07 01:45:24
