log_index,timestamp,days_ago,extra_var,description,file_time
65,2026-06-20 08:16:26,75.0,7.0,[Setup] Complete,2026-06-20 21:48:50
73,2026-06-20 08:16:26,75.0,50.0,[Logs] Incomplete Event Log,2026-06-20 21:48:50
92,2026-06-20 09:09:04,75.0,50.0,[Logs] Incomplete Event Log,2026-06-20 21:48:50
20,2026-07-24 03:26:20,41.0,50.0,[Logs] Incomplete Event Log,2026-07-24 03:29:06
0,2026-08-04 08:54:24,30.0,50.0,[Logs] Incomplete Event Log,2026-08-04 08:57:10
48,2026-08-15 20:05:27,19.0,50.0,[Logs] Incomplete Event Log,2026-08-15 20:08:13
6,2026-08-27 01:47:32,7.0,50.0,[Logs] Incomplete Event Log,2026-08-27 01:50:18
0,2026-09-01 16:57:00,2.0,52.0,[Logs] Missed LTS Scan,2026-09-03 22:45:22
0,2026-09-01 23:38:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-03 22:45:22
0,2026-09-02 05:30:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-03 22:45:22
0,2026-09-02 10:59:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-03 22:45:22
0,2026-09-02 17:36:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-03 22:45:22
0,2026-09-03 00:32:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-03 22:45:22
0,2026-09-03 06:20:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-03 22:45:22
0,2026-09-03 11:26:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-03 22:45:22
0,2026-09-03 18:23:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-03 22:45:22
