log_index,timestamp,days_ago,extra_var,description,file_time
3,2026-08-19 17:17:34,8.0,7.0,[Setup] Complete,2026-08-19 21:37:29
6,2026-08-19 17:17:34,8.0,7.0,[Setup] Complete,2026-08-19 21:37:29
14,2026-08-19 17:17:34,8.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
73,2026-08-19 21:34:43,8.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
0,2026-08-20 19:10:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-21 03:03:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-21 08:42:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-21 11:21:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-21 20:24:00,5.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-22 13:32:00,5.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-22 16:12:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-22 22:21:00,4.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-23 17:43:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-23 23:45:00,3.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-24 06:39:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-24 13:28:00,3.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-24 18:37:00,2.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-25 00:34:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-25 07:13:00,2.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-25 13:45:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-25 19:18:00,1.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-26 01:13:00,1.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-26 07:43:00,1.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-26 14:07:00,1.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-26 19:54:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-27 01:47:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
0,2026-08-27 08:13:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-27 17:15:18
0,2026-08-27 14:31:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-27 17:15:18
