log_index,timestamp,days_ago,extra_var,description,file_time
1,2026-08-19 18:20:13,27.0,14.0,[Battery] Error Battery Gauge,2026-08-19 17:45:06
2,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 17:45:06
5,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 17:45:06
10,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 17:45:06
12,2026-08-19 18:20:13,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 17:45:06
41,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 21:43:39
18,2026-08-19 18:20:13,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 17:56:07
30,2026-08-19 18:20:13,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
33,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 21:43:39
36,2026-08-19 18:20:13,27.0,7.0,[Setup] Complete,2026-08-19 21:43:39
38,2026-08-19 18:20:13,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
24,2026-08-19 18:20:13,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 18:07:06
46,2026-08-19 18:22:01,27.0,7.0,[Setup] Complete,2026-08-19 21:43:39
89,2026-08-19 21:34:31,27.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
724,2026-08-21 16:21:09,25.0,50.0,[Logs] Incomplete Event Log,2026-08-21 22:01:37
651,2026-08-21 16:21:09,25.0,50.0,[Logs] Incomplete Event Log,2026-08-21 16:25:39
2026,2026-08-25 20:28:03,21.0,50.0,[Logs] Incomplete Event Log,2026-08-26 01:26:32
2672,2026-08-27 21:45:01,19.0,50.0,[Logs] Incomplete Event Log,2026-08-28 02:44:28
3314,2026-08-29 22:53:58,17.0,50.0,[Logs] Incomplete Event Log,2026-08-30 03:54:26
360,2026-09-01 00:04:56,14.0,50.0,[Logs] Incomplete Event Log,2026-09-01 05:06:24
2338,2026-09-07 06:17:49,8.0,50.0,[Logs] Incomplete Event Log,2026-09-07 11:50:17
2267,2026-09-07 06:17:49,8.0,50.0,[Logs] Incomplete Event Log,2026-09-07 06:22:20
0,2026-09-09 01:09:00,6.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-09 07:29:00,6.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
2988,2026-09-09 08:19:46,6.0,50.0,[Logs] Incomplete Event Log,2026-09-09 13:23:14
0,2026-09-09 13:52:00,6.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-09 19:54:00,5.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-10 08:05:00,5.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-10 14:23:00,5.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-10 20:36:00,4.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-11 02:31:00,4.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-11 08:39:00,4.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-11 14:53:00,4.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-11 21:13:00,3.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-12 03:06:00,3.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-12 09:10:00,3.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-12 15:22:00,3.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-12 21:48:00,2.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-13 03:38:00,2.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-13 09:39:00,2.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-13 15:50:00,2.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-13 22:21:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-14 04:09:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-14 10:06:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-14 16:19:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-14 22:52:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
0,2026-09-15 04:39:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
0,2026-09-15 10:31:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-15 19:45:20
1333,2026-09-15 12:21:38,0.0,50.0,[Logs] Incomplete Event Log,2026-09-15 17:29:07
0,2026-09-15 16:47:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-15 19:45:20
