log_index,timestamp,days_ago,extra_var,description,file_time
0,2026-08-17 17:15:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-17 23:46:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-18 05:27:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-18 11:15:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-18 17:48:00,5.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-19 00:28:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-19 06:06:00,5.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-19 11:34:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
3,2026-08-19 17:17:34,5.0,7.0,[Setup] Complete,2026-08-19 21:37:29
14,2026-08-19 17:17:34,5.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
6,2026-08-19 17:17:34,5.0,7.0,[Setup] Complete,2026-08-19 21:37:29
0,2026-08-19 18:24:00,4.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
73,2026-08-19 21:34:43,5.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
0,2026-08-20 01:27:00,4.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-20 06:59:00,4.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-20 11:44:00,4.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-20 19:10:00,3.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-21 03:03:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-21 08:42:00,3.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-21 11:21:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-21 20:24:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-22 13:32:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-22 16:12:00,1.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-22 22:21:00,1.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-23 17:43:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-23 23:45:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
0,2026-08-24 06:39:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-24 15:00:19
0,2026-08-24 13:28:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-24 15:00:19
